fips,r,pop,x,y,xInitial,yInitial,dem,rep,index,vy,vx
16051,1.0793124584599305,27839,143.48390271079512,109.99646637723677,163.04906032905131,124.99534891014093,8.5,73.5,546,-0.0034196508422612002,-0.0044607328300269415
16053,1.0654529453228618,22994,126.42217854643445,119.00736195122904,143.6608360053818,135.23495090245638,19.8,68.8,547,-0.0036997881744319653,-0.0039303054323959336
16055,1.4410958114983898,154311,119.30592771438714,62.759083692005035,135.57422845352394,71.31677790866115,24.5,67,548,-0.001951100435089245,-0.003709070205910617
16057,1.1118000726390198,39196,117.063647307838,71.66082674269059,133.02619549390351,81.43234357340623,44.5,39.9,549,-0.0022278443535390584,-0.003639360547651737
16059,1.0217690185702977,7723,133.83470290001657,95.83820274879866,152.08411630152665,108.90649478159946,18,74,550,-0.002979488355805508,-0.0041607514274706854
16061,1.0106985715444037,3853,118.1258914404692,78.37345796343408,134.03162825723174,88.919012585514,16.9,75.5,551,-0.0024063377585099685,-0.0036292877829777934
16063,1.0147548748732713,5271,127.86916908963366,116.03825599340612,145.30513507946787,131.8609840163159,20.5,67.7,552,-0.0036074824302218668,-0.003975290535943035
16065,1.1113767067062466,39048,148.51554206113428,110.93037911238304,168.76680324297988,126.05660798532688,7.65,56.9,553,-0.0034486850065077916,-0.004617160125457794
16067,1.0586504845922222,20616,131.5593061641494,118.16407803785562,149.4984513408602,134.2766786010451,16.9,71.1,554,-0.0036735715454836964,-0.0040900122244711895
16069,1.11515553371431,40369,115.56587499118027,76.57989093773767,131.50060681506744,87.14575968268309,28,62.2,555,-0.002407186469972029,-0.003630499176403545
16071,1.0121002560515584,4343,138.93086194706748,126.9045247125733,157.87517667980347,144.20895386150676,8.89,74,556,-0.003945300963867294,-0.004319184558565806
16073,1.0322559071483148,11389,111.73587271538574,117.08236157832228,126.97193697059552,133.0474616022235,15,77.8,557,-0.0036399423506217003,-0.003473726782563556
16075,1.065544483902921,23026,110.20688234074727,101.19699080963287,125.42896440190478,114.99317373183749,15.6,75.5,558,-0.0031453809797910054,-0.003474806755212726
16077,1.0215716385070452,7654,137.380565853238,121.02210527956909,156.1134855314927,137.52442031528778,25.3,60.4,559,-0.0037624239930778994,-0.0042709878162737695
16079,1.0352967043546522,12452,124.34483329278007,67.45204603442383,141.3002284027989,76.64966254334593,27,64.3,560,-0.0020969986912378956,-0.0038657233991698505
16081,1.0310287180593978,10960,151.85889487087132,111.79225797708476,172.56604848009124,127.03601080579756,43.4,43.5,561,-0.003475479728944569,-0.004721100730354894
16083,1.2385752848595781,83514,122.60379984636154,121.99278809833329,139.3217913650766,138.6274633639291,21.4,66,562,-0.0037926012926592467,-0.0038115968741319313
16085,1.0297014086485414,10496,120.44493351681976,94.88705831428723,136.86854664732377,107.82565432943466,35.7,54.3,563,-0.002949918479847545,-0.00374448045389323
16087,1.0287745805254433,10172,111.05113196368332,96.42238145268111,126.19382643676698,109.57033084218017,17.4,73.7,564,-0.0029976497319165506,-0.0034524390597356317
17001,1.1901284913633152,66578,305.19083512370446,160.78759168866986,350.21789727401267,183.03018435261384,24,71.5,565,-0.00543414591902309,-0.017835142856662694
17003,1.0182075956898744,6478,322.3323840472479,192.5052427552189,369.72173582562687,216.48268623369358,44.7,53,566,-0.00221933381305567,-0.02059493819776885
17005,1.0478031628552225,16824,321.7382940540716,173.0613466085007,367.43521869523687,195.59067893123847,27.6,65.4,567,-0.0037694364636410766,-0.01732740247586076
17007,1.1527263996673047,53503,314.0572731958238,125.33885512941623,369.996595714809,152.99457552255564,39.6,54.2,568,-0.010940660046928029,-0.016029075298555694
17009,1.0190200005878987,6762,308.26404198876025,161.62301873649287,354.3530033288354,183.1073719688659,20.3,76,569,-0.006018143938104084,-0.01753171663877433
17011,1.09510286352012,33359,316.59205939290445,142.30686840162622,364.4631109461155,164.71513216215953,36.8,56.8,570,-0.0089012054545294,-0.015946465900849468
17013,1.0136764359769503,4894,311.50317385305704,170.42261607561284,355.6832170132333,192.8871849728152,28.9,67.2,571,-0.004022575038704717,-0.017667508898142035
17015,1.0412667361228796,14539,313.0527086982975,133.92557629462365,360.3341868142977,156.87394873122133,33.1,60.2,572,-0.008826539567420194,-0.021125174885697273
17017,1.0359374744150656,12676,311.25822600811165,162.13462652650276,359.02208624192343,182.7486875532715,31.9,63.6,573,-0.003928287607894179,-0.017722008373624178
17019,1.5958761080557697,208419,329.4031023809719,159.6710118962702,377.80784916701595,179.30615312446685,55.7,37.2,574,-0.006275097207075491,-0.019178574635904937
17021,1.0949598344887777,33309,322.28690693756636,166.5458784443558,368.3355546992721,187.37214699930564,26,68.7,575,-0.006459867623624793,-0.017824497150535655
17023,1.045268688419837,15938,330.4973918527519,168.63359885756452,382.40612729423947,188.90177318419705,23.9,71.8,576,-0.0044834783146458545,-0.016932452263766752
17025,1.0377224767262174,13300,327.501168804204,172.51620234736902,376.51980977466826,196.63113773590146,16.1,79.7,577,-0.005186130122383539,-0.017147838247598666
17027,1.1076036008594368,37729,323.2290564052521,175.8248169731083,367.8000563718893,199.02162614566896,22.8,71.7,578,-0.004004598503267086,-0.017498090489084902
17029,1.1494081261401634,52343,328.2262874494459,166.41114389961388,378.2208530117856,187.0104966548298,33.7,60.1,579,-0.005823290636248142,-0.01604433407735976
17031,15.884705185601376,5203499,333.3304475735522,135.81333000285719,380.9983920068956,157.33589229064182,74.3,21.4,580,-0.010148205366370252,-0.01599584999666482
17033,1.0549088451323076,19308,333.2016949475045,170.69039943892923,383.07911242247815,192.91212793529417,23.1,72.2,581,-0.003760850456362012,-0.016905935924042048
17035,1.0307369388354597,10858,327.60368192491256,169.5111019007534,378.278196940775,189.9826190488347,18.6,76.1,582,-0.006049913345487725,-0.018139215879168967
17037,1.2986875261521187,104528,314.6874907786462,139.5479388769159,370.88827402526465,158.1627610724044,47.7,44.7,583,-0.012772014745721288,-0.011547492133361923
17039,1.0460925356403685,16226,320.3984733512828,160.9731840019199,371.2666279341739,179.2963000386817,25.5,67.9,584,-0.006262563377719534,-0.017508049981667103
17041,1.0558299520941523,19630,328.90539596469256,163.2544195405184,377.94705592708965,183.9099907435271,24,70.4,585,-0.005727836079870215,-0.016916031717477235
17043,3.658208850399722,929368,311.386046877388,144.71095515697502,377.07833783627456,158.1938967159906,53.8,39.8,586,-0.006566567085901563,-0.015133640727581273
17045,1.0499257136803422,17566,331.13660948362434,165.26220008372735,382.4510612160165,184.60641036237723,22.8,72.3,587,-0.006418380634750538,-0.015271779844163967
17047,1.0183363218180825,6523,330.83481159919427,179.4340675209234,380.95959546718757,200.35630695817747,13,83.8,588,-0.002064350853730822,-0.01834209664988229
17049,1.0980406798238909,34386,324.52478260786165,171.70408957799916,375.2059215123475,193.01766527972802,17.6,78.1,589,-0.004917527767389202,-0.017545425900163062
17051,1.0620059456675126,21789,321.8934411966309,169.96386914483804,371.2642209221175,193.89269852551854,19,77.3,590,-0.003956600501997282,-0.018165287815422662
17053,1.0385091363985999,13575,327.7833317030723,152.80813207237966,377.0951872327972,173.73417581814823,22.4,71.1,591,-0.009225135618725,-0.01398853961231899
17055,1.111685649413946,39156,325.37050945501045,181.5135022414304,373.0498036394566,206.2455939000743,25.4,70.6,592,-0.0036432945189631546,-0.019321842733189414
17057,1.1013303475447636,35536,311.90669283987893,156.35080014927888,359.00963054814815,176.61784776951419,39.1,54.3,593,-0.00574714751913522,-0.018972247627590266
17059,1.0145861006162875,5212,331.226757917826,184.29170300881788,379.9123296815069,208.47027923076894,24.3,72.1,594,-0.0023812903316934174,-0.017851616062930516
17061,1.0371303365364604,13093,313.16217004060815,167.8809072975296,358.15312560039416,190.38284999925014,21.6,74.6,595,-0.003549488489230395,-0.01678690831607255
17063,1.143955859465395,50437,322.0014928264559,153.10794519232473,374.792201809871,165.29377901418576,35,58.6,596,-0.009613281119835356,-0.014937527416884982
17065,1.0227358948221716,8061,327.03191203478895,184.10355982756658,376.640911691995,204.81505780579414,19.3,77.3,597,-0.0021508957493970786,-0.020264705225539147
17067,1.052620380630831,18508,305.77212088037055,157.61109256809436,350.2048278101418,177.84989400514877,22.3,73,598,-0.00587118506371471,-0.01988139137613649
17069,1.0111877308315944,4024,332.04545642461846,187.18606491273582,379.7998884270112,211.58427495024955,19.6,77.3,599,-0.0020113332526937627,-0.01856860766889462
17071,1.019326082714971,6869,306.45600469766424,154.58105163584696,352.0498483020864,172.70238565373796,33,61.8,600,-0.005830357008498526,-0.0159113428967677
17073,1.1406461676801343,49280,310.1601409570612,150.37735167475367,359.03578463316614,165.70080851584004,36.4,57.6,601,-0.006893919533667258,-0.016485709403134596
17075,1.080728445870219,28334,331.92196666407165,153.8922153502931,380.5165903855711,171.5366852463539,19.3,75.2,602,-0.008352645340201408,-0.019557308851230287
17077,1.1680791358915867,58870,321.1319746019403,185.39139910263646,368.8997077054675,209.0900850983769,47.4,44.4,603,-0.0010894841423851394,-0.022341717348301485
17079,1.0269552512467692,9536,330.3300467657235,171.67799248016084,379.3901126834067,193.2110108899024,18.1,77.8,604,-0.004091574668550518,-0.016809246245861015
17081,1.1096946852976612,38460,325.22980252489964,178.34580477474776,372.785675746357,202.44332988203968,26.2,69.4,605,-0.004309157556625172,-0.016584186075668795
17083,1.0626810426954483,22025,314.54559923701834,170.6414919674482,358.6009603035502,193.75728203694592,24.5,70.9,606,-0.0036158155237569975,-0.017158620506978774
17085,1.0619515946356024,21770,308.9128782951175,133.1935868382833,357.54515192912436,153.31001801248192,39.8,54.6,607,-0.004972062318197796,-0.013893658772003247
17087,1.0365839656367326,12902,326.6575828582599,188.3063567498976,373.951484766824,212.7479385200698,18.8,77.1,608,-0.003828721951451665,-0.020676854726750533
17089,2.520690382392554,531715,310.3000027816742,137.55676730288735,373.9131868382737,157.37150938385696,51.3,42.4,609,-0.004410545409350783,-0.01540556702120307
